model,mae,rmse,r2,train_rows,test_rows,n_features
random_forest,3.347817821961992,4.150466707631059,0.09921189857429924,78,20,1538
gradient_boosting,3.1765849413562752,4.294808077293528,0.03546876950729616,78,20,1538
ridge,11.928734453454528,14.642576360304956,-10.211501176080384,78,20,1538
