feature,importance
w60__mean__s13_ti12093_daca_pv,0.0026173501018960828
w60__last__s01_tic12042_daca_pv,0.002592463780156583
w60__last__s08_ti12088_daca_pv,0.0025921864943676196
w60__last__s13_ti12041_daca_pv,0.00248591357209333
w60__mean__s10_lic12018_daca_pv,0.002477629050453629
w60__last__s06_ti12037_daca_pv,0.002436128227728302
w60__last__s04_fic12064_pida_op,0.002427504877258362
w60__mean__s06_pi12008_2_daca_pv,0.002416030836745778
w60__mean__s10_tic12051_daca_pv,0.0023597763561649934
w60__mean__s08_ti12088_daca_pv,0.0023508767680564943
w60__mean__s12_tic12105_pida_op,0.0023508474607166503
w60__last__s13_lic12021_daca_pv,0.0023482415835573483
w60__last__s12_pic12037_daca_pv,0.0023067891400814504
w60__mean__s09_lic12017_daca_pv,0.002271461757892295
w60__last__s13_tic12106_daca_pv,0.0022305251824737394
w60__mean__s02_lic12010_daca_pv,0.0022186586829242637
w60__mean__s06_ti12063_daca_pv,0.0021929797975735912
w60__last__s13_ti12067_daca_pv,0.0021763094870709578
w60__mean__s12_tic12053_daca_pv,0.002155098759419238
w60__last__s02_fic12062_daca_pv,0.0021255654586597506
w60__mean__s09_ti12037_daca_pv,0.0021227498269303677
w60__mean__s06_lic12017_daca_pv,0.002104399166999554
w60__mean__s07_tic12074_pida_op,0.0020686641674217067
w60__mean__s02_ti12082_daca_pv,0.0020489713525551835
w60__last__s05_tic12098_daca_pv,0.0020424350800563556
w60__mean__s09_tic12050_daca_pv,0.0020304143594991066
w60__last__s12_lic12020_daca_pv,0.002021643140515055
w60__mean__s08_fic12081_daca_pv,0.0020169487320811307
w60__last__s05_fic12078_daca_pv,0.002010265945688271
w60__mean__s08_tic12101_daca_pv,0.0020076494552898555
w60__last__s07_tic12074_pida_op,0.0019834036477867066
w60__last__s05_ti12059_daca_pv,0.0019293020647213987
w60__last__s13_ti12093_daca_pv,0.0019248578462512703
w60__mean__s08_lic12016_daca_pv,0.0018975477833108217
w60__last__s01_fic12061_pida_op,0.0018479433011803026
w60__mean__s07_fic12080_pida_op,0.0018355923480519694
w60__mean__s07_fic12067_daca_pv,0.0018320763493234011
w60__mean__s04_lic12012_daca_pv,0.0018294009556795337
w60__last__s02_ti12030_daca_pv,0.001827833263253473
w60__mean__s07_fic12080_daca_pv,0.0018194160083124893
w60__last__s12_tic12105_pida_op,0.0018090788932704084
w60__last__s01_fic12061_daca_pv,0.001796660713971444
w60__mean__s02_fic12075_daca_pv,0.0016881480224906883
w60__mean__s13_tic12054_daca_pv,0.0016342231114360273
w60__mean__s04_fic12077_daca_pv,0.0016310577898435792
w60__last__s08_tic12101_daca_pv,0.0016234370796881824
w60__last__s01_ti12029_daca_pv,0.001607191145186584
w60__mean__s06_ti12037_daca_pv,0.0016059156408782394
w60__mean__s01_ti12081_daca_pv,0.001605258594335366
w60__last__s03_ti12057_daca_pv,0.0016025001346927548
w60__mean__s10_ti12064_daca_pv,0.0015868693131879713
w60__mean__s07_tic12100_daca_pv,0.0015727856746459038
w60__last__s06_pi12008_2_daca_pv,0.0015696021747118644
w60__last__s05_ti12085_daca_pv,0.0015650326663890107
w60__last__s08_tic12049_daca_pv,0.001562417922875518
w60__mean__s09_fic12069_daca_pv,0.0015612516233596359
w60__mean__s06_tic12050_daca_pv,0.001554447419207123
w60__mean__s12_lic12020_daca_pv,0.0015405622198702894
w60__last__s13_tic12106_pida_op,0.0015405325758928372
w60__last__s02_ti12056_daca_pv,0.0015358835680896537
w60__mean__s03_tic12096_daca_pv,0.0015344270301437298
w60__last__s12_ti12092_daca_pv,0.0015336474764682387
w60__last__s12_ti12066_daca_pv,0.0015331811209602214
w60__mean__s04_tic12097_daca_pv,0.001528372902368594
w60__mean__s01_ti12029_daca_pv,0.001514829913726618
w60__last__s08_fic12081_pida_op,0.001511386024466101
w60__mean__s01_lic12009_daca_pv,0.0015067009885464657
w60__last__s07_lic12015_daca_pv,0.0014963402048160553
w60__last__s09_ti12063_daca_pv,0.0014880528768703865
w60__mean__s02_tic12043_daca_pv,0.0014118843312731783
w60__mean__s02_fic12062_daca_pv,0.0014077997251752724
w60__mean__s07_ti12087_daca_pv,0.0014040518691785563
