target,model,n_features,train_size,test_size,MAE,RMSE,R2
target_cl,ridge,80,18,16,0.6452226094988154,0.773226054288968,0.08720834957055223
target_cl,elasticnet,80,18,16,0.6604373730374773,0.7530439285832661,0.13423639942576904
target_cl,rf_shift_whitelist,80,18,16,0.73311760085973,0.8065176068938269,0.006915037817178615
target_t,rf_shift_whitelist,80,18,16,0.38720287698412825,0.47532133761922335,0.03603040428318849
target_t,elasticnet,80,18,16,0.5738357508881935,0.6826175535762617,-0.9881246909885466
target_t,ridge,80,18,16,0.6291792078005574,0.7838052804415906,-1.621229728631981
