sheet,section_or_area,parameter,units_or_symbol,norm_or_target,frequency,source_or_method,potential_role,notes
Качеств.показатели,,Тем-ра,,42-52 ⁰С,смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели,Жидк.после КЛПК ,Об.экв.к. СО₂,н.д,"55,0-68,0 н.д",смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели,Сырой гидрокарбонат натрия с б/ф,М.д.                        влаги,%,"не более 17,0 %",смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели,,М.д.хлоридов,%,"не более 0,08 %",смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели, Маточная жидкость с б/ф,П б-та,%,"не более 10,0 %",смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели,,Об.экв.к. Cl⁻,н.д,"не менее 82,0 н.д",смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели,Сырой гидрокарбонат натрия с л/ф,М.д.                        влаги,%,"не более 16,8 %",смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели, Маточная жидкость с л/ф,П б-та,%,"не более 3,5 %",смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели,,Об.экв.к. Cl⁻,н.д,"не менее 91,0 н.д",смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели,Промывная вода,Тем-ра,,30-40 ⁰С,смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели,,Об.экв.к. Cl⁻,н.д,"не более 0,30 н.д",смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели,,Общ.щ.,н.д,"не более 25,0 н.д",смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
Качеств.показатели,Вакуум в/ф,Вакуум в/ф,,не менее 220 мм.рт.ст.,смена / агрегирование,агрегированный quality-KPI лист,control KPI / class-label candidate,Подходит для сменных классов режима и отклонений
