model,mae,rmse,r2,train_rows,test_rows,n_features
gradient_boosting,3.3498809693906297,4.4449452464485235,-0.033145772641715254,78,20,769
random_forest,3.3650454852863247,4.1166676663960775,0.11382317474253756,78,20,769
ridge,23.975803951146567,27.749220420223903,-39.26524491898006,78,20,769
