feature,importance
w60__min__s04_tic12097_daca_pv,0.002171449909470853
w60__delta__s05_tic12098_daca_pv,0.0021697680807500376
w60__delta__s01_fic12061_daca_pv,0.002150417579942689
w60__std__s06_fic12069_daca_pv,0.0021409700724539806
w60__std__s06_lic12017_daca_pv,0.0021265774770063317
w60__min__s03_tic12096_pida_op,0.0021261281458231653
w60__std__s07_fic12080_pida_op,0.0021059574415237207
w60__last__s03_tic12096_daca_pv,0.0020734818863716586
w60__std__s04_tic12071_daca_pv,0.002063329794680462
w60__min__s09_fic12069_daca_pv,0.002045111101438847
w60__std__s06_ti12037_daca_pv,0.002037601369210193
w60__std__s03_ti12083_daca_pv,0.002031663444577807
w60__std__s08_ti12036_daca_pv,0.002016697452787111
w60__last__s07_ti12087_daca_pv,0.002011272005046223
w60__last__s05_ti12033_daca_pv,0.0020044785542921626
w60__max__s06_ti12089_daca_pv,0.001977672345135305
w60__max__s07_fic12067_daca_pv,0.0019642907987247123
w60__max__s08_fic12081_daca_pv,0.0019450739449343767
w60__std__s13_tic12054_daca_pv,0.001935129861546369
w60__max__s09_ti12089_daca_pv,0.0018898580300038806
w60__delta__s04_ti12058_daca_pv,0.001887334383741992
w60__delta__s02_tic12043_daca_pv,0.0018814217688189476
w60__mean__s06_ti12089_daca_pv,0.0018636837527162375
w60__min__s10_tic12103_daca_pv,0.001857333405943903
w60__delta__s01_lic12009_daca_pv,0.0018555377546456136
w60__mean__s13_ti12041_daca_pv,0.0018232026394706322
w60__mean__s07_ti12035_daca_pv,0.0018192366475841004
w60__min__s07_ti12087_daca_pv,0.001815817351162819
w60__max__s07_ti12035_daca_pv,0.0018139747989625351
w60__last__s08_lic12016_daca_pv,0.0018073787651028779
w60__std__s04_fic12077_pida_op,0.001802699899872298
w60__max__s01_fic12074_daca_pv,0.001799255173243965
w60__max__s05_tic12072_pida_op,0.0017870993373568559
w60__delta__s13_lic12021_daca_pv,0.0017832423538923817
w60__delta__s12_lic12020_daca_pv,0.001776145559918545
w60__std__s04_tic12097_daca_pv,0.0017701668456851615
w60__mean__s13_tic12080_daca_pv,0.0017649405836969816
w60__std__s06_tic12102_daca_pv,0.0017604996035623496
w60__max__s10_ti12038_daca_pv,0.0017579933465358525
w60__last__s02_fic12075_daca_pv,0.001748835023138402
w60__mean__s04_fic12064_daca_pv,0.0017427908112692713
w60__mean__s07_tic12074_pida_op,0.0017324586827166
w60__std__s10_ti12064_daca_pv,0.0017288950192408262
w60__last__s07_ti12035_daca_pv,0.001721158842391154
w60__std__s12_fic12085_pida_op,0.0017152487213454475
w60__max__s01_fic12061_pida_op,0.001714910309560164
w60__min__s06_ti12037_daca_pv,0.0017103056145880906
w60__delta__s05_ti12059_daca_pv,0.0016991774299472307
w60__max__s08_tic12101_pida_op,0.0016919137347293077
w60__min__s05_tic12072_pida_op,0.001689124948079907
w60__min__s07_tic12100_pida_op,0.0016870909745902393
w60__min__s04_fic12064_pida_op,0.001668728696319373
w60__std__s07_tic12100_daca_pv,0.0016681744023009126
w60__std__s04_fic12064_daca_pv,0.0016643917143146026
w60__last__s07_fic12080_pida_op,0.0016628888869004816
w60__delta__s07_lic12015_daca_pv,0.0016530272740191382
w60__delta__s07_ti12061_daca_pv,0.0016441301633709883
w60__delta__s04_tic12045_daca_pv,0.0016252753751964872
w60__last__s09_tic12050_daca_pv,0.001621547702876453
w60__mean__s10_tic12051_daca_pv,0.001621263223681963
w60__delta__s01_fic12061_pida_op,0.0016124374687139264
w60__delta__s02_tic12095_daca_pv,0.00159559357390717
w60__delta__s13_tic12106_pida_op,0.0015903734423173747
w60__mean__s10_fic12083_pida_op,0.001566098995434966
w60__min__s05_tic12098_daca_pv,0.0015586578335754604
w60__last__s13_fic12086_daca_pv,0.001557777506058776
w60__min__s03_tic12096_daca_pv,0.001550198332377601
w60__last__s05_fic12065_daca_pv,0.00154517857916777
w60__delta__s12_ti12092_daca_pv,0.0015446936165904109
w60__delta__s08_tic12101_pida_op,0.0015435567701337742
w60__mean__s01_tic12042_daca_pv,0.0015412058410692378
w60__min__s09_ti12037_daca_pv,0.0015349333143221539
w60__std__s13_lic12021_daca_pv,0.0015302560629118014
w60__delta__s02_lic12010_daca_pv,0.0015211854143707356
w60__max__s02_lic12010_daca_pv,0.001520515627376465
w60__std__s02_tic12043_daca_pv,0.0015153871114177502
w60__delta__s04_ti12032_daca_pv,0.0015152674163957753
w60__last__s01_fic12074_daca_pv,0.0015074542588386231
w60__delta__s08_tic12049_daca_pv,0.001505473887578344
w60__mean__s10_tic12103_daca_pv,0.0015004328107651916
w60__last__s02_lic12010_daca_pv,0.001486288606522341
w60__last__s08_tic12075_pida_op,0.0014862392896569947
w60__std__s06_ti12089_daca_pv,0.0014845454678959272
w60__delta__s10_lic12018_daca_pv,0.0014843599264878285
w60__delta__s05_lic12013_daca_pv,0.001482077237466257
w60__min__s13_ti12067_daca_pv,0.0014725796954639689
w60__min__s05_ti12085_daca_pv,0.0014563928253496763
w60__min__s06_fic12069_daca_pv,0.001455231562439576
w60__delta__s07_ti12087_daca_pv,0.001445777438730038
w60__mean__s08_ti12036_daca_pv,0.0014423648702030143
w60__max__s04_fic12077_pida_op,0.0014371463401284441
w60__std__s07_tic12100_pida_op,0.0014337384315914485
w60__std__s13_ti12041_daca_pv,0.0014304923084104124
w60__mean__s10_tic12077_pida_op,0.0014291148072973223
w60__mean__s08_fic12081_pida_op,0.0014090800610320425
w60__delta__s13_tic12106_daca_pv,0.0013920372161456398
w60__max__s08_fic12081_pida_op,0.0013850830385106507
w60__min__s01_ti12055_daca_pv,0.0013838990793048655
w60__last__s05_tic12072_pida_op,0.001377131232859532
w60__max__s12_ti12066_daca_pv,0.0013654175347957193
w60__delta__s06_ti12089_daca_pv,0.0013573938186807269
w60__std__s04_ti12032_daca_pv,0.0013446018340155291
w60__min__s07_fic12067_daca_pv,0.0013436042500054937
w60__mean__s01_fic12061_pida_op,0.0013331318843126001
w60__min__s01_fic12061_daca_pv,0.0013305645285926003
w60__min__s10_fic12083_pida_op,0.0013190162170707974
w60__mean__s07_fic12080_pida_op,0.0013149625723933513
w60__last__s13_ti12093_daca_pv,0.0013126101162389946
w60__min__s01_fic12074_daca_pv,0.0013092997058265555
w60__min__s08_tic12101_pida_op,0.0012879808278925284
w60__max__s07_tic12074_pida_op,0.0012808264945573104
w60__mean__s10_tic12103_pida_op,0.001280446134412473
w60__std__s10_fic12083_daca_pv,0.0012785677327399041
w60__max__s10_ti12090_daca_pv,0.0012752997610786338
w60__std__s09_fic12069_pida_op,0.00127317781285768
w60__delta__s02_ti12056_daca_pv,0.0012684926388529915
w60__min__s01_lic12009_daca_pv,0.0012672431954023654
w60__mean__s04_ti12084_daca_pv,0.0012662820737767634
w60__delta__s06_fic12069_daca_pv,0.0012605015730888548
w60__last__s08_ti12036_daca_pv,0.0012578317939069788
w60__last__s07_tic12048_daca_pv,0.0012502658144101283
w60__delta__s05_ti12033_daca_pv,0.001237981363764565
w60__std__s09_fic12069_daca_pv,0.0012340181062758162
w60__last__s12_ti12092_daca_pv,0.001225648289106252
w60__std__s07_fic12067_pida_op,0.0012217763289051292
w60__max__s07_fic12067_pida_op,0.001212985801334334
w60__mean__s05_tic12046_daca_pv,0.0011984267023450869
w60__mean__s05_fic12078_pida_op,0.0011936434161911554
w60__last__s07_tic12100_daca_pv,0.0011931739007993074
w60__std__s12_tic12079_pida_op,0.0011912235189543347
