variant,n_features,MAE,RMSE,R2,delta_RMSE_vs_exp02,delta_R2_vs_exp02
base_full_w60,,3.3941138888888838,4.18867144198728,0.08255220056542434,0.07200344198728015,-0.031270799434575655
top_30,30.0,3.332402777777787,4.129147002214272,0.10844228847261317,0.012479002214272228,-0.005380711527386825
top_50,50.0,3.270822222222216,4.056951835247543,0.1393462305269133,-0.05971616475245689,0.025523230526913313
top_100,100.0,3.229927777777764,3.9967995439792863,0.16467879550209996,-0.1198684560207135,0.05085579550209997
