fold,train_size,test_size,MAE,RMSE,R2
fold_1,22,19,2.1229035087719246,2.7812289922694142,0.019811528335607842
fold_2,41,19,4.032999999999996,5.1724659839481495,0.21686048662078194
fold_3,60,19,4.291105263157874,4.755381059609426,0.16653890705436947
fold_4,79,19,3.160833333333323,3.9201551698935075,0.18150432452198428
