feature,importance
k1_t_susp,0.2141592399351302
bf_chlorides,0.13373407144043856
k1_t25_pv,0.1039912475058477
cl_susp,0.08208076254755504
k1_t25_op,0.07071445483478304
k1_gas1_pv,0.06893446916246909
k1_gas2_pv,0.06674165087288944
k1_t_outwater,0.06334793920161741
k1_t14,0.047160121751638404
k1_gas1_op,0.038320102122532736
bf_moisture,0.034421623219751396
k1_t5_pv,0.0275508815523695
co2_after_KLPK,0.0252194764377222
k1_t_offgas,0.023623959415255254
